Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
4bdrm Duplex in Ikorodu Garage for sale,500.0,4,4,Semi-furnished,"Ikorodu, Ikorodu Garage",Ikorodu Garage,Lagos State,False,280000000
3bdrm Penthouse in Ikate for sale,500.0,3,3,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,False,300000000
2bdrm Apartment in Oregun for sale,500.0,2,2,Semi-furnished,"Ikeja, Oregun",Oregun,Lagos State,False,140000000
2bdrm Apartment in Ikate for sale,500.0,2,2,Semi-furnished,"Lekki, Ikate",Ikate,Lagos State,False,140000000
4bdrm Duplex in Ikate for sale,500.0,4,4,Semi-furnished,"Lekki, Ikate",Ikate,Lagos State,False,300000000
5bdrm Duplex in Papa Ajao / Surulere for sale,500.0,5,5,Semi-furnished,"Surulere, Papa Ajao / Surulere",Papa Ajao / Surulere,Lagos State,False,450000000
4bdrm Duplex in VGC / Ajah for sale,500.0,4,4,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,False,190000000
3bdrm Apartment in Sabo / Yaba for sale,500.0,3,3,Semi-furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Lagos State,False,165000000
3bdrm Duplex in Fagba Ifako Ijaiye for sale,180.0,3,3,Semi-furnished,"Agege, Fagba",Fagba,Lagos State,enterprise,240000000
Furnished 3bdrm Block of Flats in Ikosi Ketu for sale,684.0,3,3,Furnished,"Kosofe, Ketu-Ikosi",Ketu-Ikosi,Lagos State,basic,350000000
"Furnished 3bdrm Penthouse in Seman Metropolis, Sabon Lugbe for sale",600.0,3,4,Furnished,"Lugbe District, Sabon Lugbe",Sabon Lugbe,Abuja(FCT),False,180000000
2bdrm Apartment in Lekki Expressway for sale,500.0,2,2,Unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,120000000
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,195000000
6bdrm Duplex in Chevron for sale,500.0,6,6,Semi-furnished,"Lekki, Chevron",Chevron,Lagos State,False,900000000
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,650000000
5bdrm Duplex in Chevron for sale,500.0,5,5,Semi-furnished,"Lekki, Chevron",Chevron,Lagos State,False,350000000
4bdrm Duplex in Sabo / Yaba for sale,500.0,4,4,Semi-furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Lagos State,False,260000000
3bdrm Apartment in East West Road for sale,500.0,3,4,Semi-furnished,"Port-Harcourt, East West Road",East West Road,Port-Harcourt,enterprise,115000000
Furnished 5bdrm Duplex in Ikota Lekki for sale,520.0,5,5,Furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,200000000
3bdrm Duplex in Lekki for sale,500.0,3,3,Unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,150000000
3bdrm Apartment in Oregun for sale,500.0,3,3,Semi-furnished,"Ikeja, Oregun",Oregun,Lagos State,False,170000000
